status	id	source_path	output_file	sha256	bytes
unique	027	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20250930_094622856.jpg	eti-photo-027.jpg	3a986a8ad9cec6c2129afc3fac468e823ae601ff7d08d21691fd0ba0554dd549	3578137
unique	028	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20250930_094632883.jpg	eti-photo-028.jpg	f2c4d2c13383ef5116a3183fd4b5f6de66ce6c5697b1827124cbeb09980678df	2434332
unique	029	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20250930_094816057.jpg	eti-photo-029.jpg	4478c70fc4a33023e546b8dacd38606421fe3e2a5d72771c8e8a9ec4dd3b7a85	2225042
unique	030	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20251003_003653486.jpg	eti-photo-030.jpg	120ec46d7ecdd9a1ee75889d96d7026fb6a24323f1fbdd948d9b284fb1cf7235	2294274
unique	031	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20251003_003706395.jpg	eti-photo-031.jpg	133c802cedf61900fcbdfabb6f8f659306949ab92c1f4caa943f9cd4fd9e6fc4	3388955
unique	032	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20251107_105624432.jpg	eti-photo-032.jpg	942b70682885fb9e7ded0901f7023a7c0d2cf428858b1040885130b119471635	1283926
unique	033	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20251117_031901115.jpg	eti-photo-033.jpg	8605f7e242a2d56276a2ea416a605dcdc43a71c835612d931b14457f4053cf33	2234189
unique	034	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20251117_101721744.jpg	eti-photo-034.jpg	801939e6e28a652d894d22e44298388611c09be98306b6f426669025b5289e7d	2908237
unique	035	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20251120_102319172.jpg	eti-photo-035.jpg	a5b76ec8d44eb4569221714a1e2fd934e3ed14cea6231f71456e40ee97119451	2667004
unique	036	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20251121_100551972.jpg	eti-photo-036.jpg	31b857be44461c7faae27dbf8544cb73dcf820edddc092344a721107341a1312	3315801
unique	037	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20251121_100559183.jpg	eti-photo-037.jpg	22519d802cf50016ef08b90f909afda04313e023d2b28a79d7721e1b2582880b	2913052
unique	038	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20251121_102846553.jpg	eti-photo-038.jpg	82221d1c2ff8d71e656cccccb92ecbdcd7c4b6bc6e51e38a9e0b91ee0c3edb8c	3011474
unique	039	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/PXL_20251124_025003932.jpg	eti-photo-039.jpg	c1db3e915cc8e47dafb10e606e3fdb36db1f9dda63a06b32ba2472a96a259ee5	1979768
unique	040	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/image.jpg	eti-photo-040.jpg	68b8b83b5b0cd4c61a166174b80873ad5515999c9e2af87afaa2008904bdc237	915722
unique	041	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/image_2.jpg	eti-photo-041.jpg	fdec494ac685e5f2c7fd59614e865f1875a337615f1ad74c965dd91799d5827e	1435328
unique	042	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/image_3.jpg	eti-photo-042.jpg	d86e99ffe6acc2238a7f2fb282f89c1d372efdeecf1bad5316d25cf4bc04a203	525881
unique	043	/Users/thescepter/Desktop/canvas-codex-project/educationthatinspires-site/photos/image_4.jpg	eti-photo-043.jpg	155e8b4fb0f72aed0746fb745525bfc41db703f611720b136101dbeb694fc558	1768633
